scope	classification	path
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_historical_rhh125125_lt34_freeze_20260806_v1/README.md
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_historical_rhh125125_lt34_freeze_20260806_v1/SHA256SUMS
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_historical_rhh125125_lt34_freeze_20260806_v1/artifact_manifest.tsv
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_historical_rhh125125_lt34_freeze_20260806_v1/evidence/class_metrics.tsv
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_historical_rhh125125_lt34_freeze_20260806_v1/evidence/fold_metrics.tsv
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_historical_rhh125125_lt34_freeze_20260806_v1/evidence/historical_rhh34_evaluation.log
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_historical_rhh125125_lt34_freeze_20260806_v1/evidence/historical_rhh34_evaluation_contract.json
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_historical_rhh125125_lt34_freeze_20260806_v1/evidence/historical_rhh34_nominal_metrics.json
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_historical_rhh125125_lt34_freeze_20260806_v1/evidence/process_metrics.tsv
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_historical_rhh125125_lt34_freeze_20260806_v1/evidence/source_group_bootstrap_replica_metrics_2000.tsv
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_historical_rhh125125_lt34_freeze_20260806_v1/evidence/source_group_bootstrap_summary.json
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_historical_rhh125125_lt34_freeze_20260806_v1/evidence/source_metrics_441.tsv
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_historical_rhh125125_lt34_freeze_20260806_v1/external_artifact_manifest.json
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_historical_rhh125125_lt34_freeze_20260806_v1/historical_rhh34_freeze_contract.json
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_and_figure_contract_20260806_v1/README.md
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_and_figure_contract_20260806_v1/SHA256SUMS
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_and_figure_contract_20260806_v1/artifact_manifest.tsv
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_and_figure_contract_20260806_v1/evidence/paper_inventory/existing_figure_file_inventory.tsv
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_and_figure_contract_20260806_v1/evidence/paper_inventory/existing_figure_reference_inventory.tsv
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_and_figure_contract_20260806_v1/evidence/readiness/candidate_cut_family_proposal.json
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_and_figure_contract_20260806_v1/evidence/readiness/candidate_variable_fold_support.tsv
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_and_figure_contract_20260806_v1/evidence/readiness/candidate_variable_pooled_support.tsv
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_and_figure_contract_20260806_v1/evidence/readiness/discrete_candidate_support.tsv
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_and_figure_contract_20260806_v1/evidence/readiness/multivariate_cut_space_readiness_summary.json
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_and_figure_contract_20260806_v1/multivariate_nested_oof_cut_contract.json
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_and_figure_contract_20260806_v1/paper_figure_directory_contract.json
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_category_endpoint_amendment_20260806_v1/README.md
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_category_endpoint_amendment_20260806_v1/SHA256SUMS
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_category_endpoint_amendment_20260806_v1/artifact_manifest.tsv
baseline_to_current	non_track_b	docs/checkpoints/hh4b_train_multivariate_cut_category_endpoint_amendment_20260806_v1/evidence/target_feasibility/canary_v2_btag_signal_efficiency_ceiling.tsv
