payload_key	replica	category_id	transferred_rows	payload_archive	payload_archive_name	payload_archive_size_bytes	payload_archive_sha256	execution_provenance_sha256
replica_0000__exact3tag	0	exact3tag	109194	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0000__exact3tag.tar.gz	initial200_payload_replica_0000__exact3tag.tar.gz	14760296	4ade0c4d4bc9d981ee1d9f11fe095b79b58ce5bd26c69b994c24c12f0d646586	047949e1722a09269b1c07c97bd1cd5e42f6a9a9242e151aa6c62efd312f935b
replica_0000__ge4tag	0	ge4tag	30840	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0000__ge4tag.tar.gz	initial200_payload_replica_0000__ge4tag.tar.gz	4295082	97b8530b216b8e069fa11f81a9a3dce24123c7c001b3969fd0be6c0f9297d255	985769f291aa2f728b3634bd7b0aa00fd7aa411a407fd78c4fb87550af86b147
replica_0001__exact3tag	1	exact3tag	109166	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0001__exact3tag.tar.gz	initial200_payload_replica_0001__exact3tag.tar.gz	14188105	c509e3f527b4163a726b7211bcb37fc568bf4810eb8cce1dece2ba8e8bac49af	32aabef78dbf4d5083e6e956fcdf53617b8bc4cb02f3765dea53e212c94bc875
replica_0001__ge4tag	1	ge4tag	30509	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0001__ge4tag.tar.gz	initial200_payload_replica_0001__ge4tag.tar.gz	3838000	02b45be9e8616653935f24a00ba933fc2defb3a1063e38e02e4db1ad8a9f47b2	0f2a5be8d75d949d7db1313975c12b6cdd6b063d008e3bf94d244e606db5f3aa
replica_0002__exact3tag	2	exact3tag	108280	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0002__exact3tag.tar.gz	initial200_payload_replica_0002__exact3tag.tar.gz	14316868	c72f7264324af6977b37a57f77eea84c365d1f3898aba2333804c3ffb80cf786	2d4e80fe16e255f973fa8a8c4df58075fbf94a369144c7a119010066dd468b03
replica_0002__ge4tag	2	ge4tag	30708	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0002__ge4tag.tar.gz	initial200_payload_replica_0002__ge4tag.tar.gz	4014767	5adf93673b0e7a9fa1b017c4522685451f20e1170bbab58e944eacb0ec13f67b	f5b774eec6cba819e7880ae867fb8c8c5c2daa29e650c188607e8edb911d289b
replica_0003__exact3tag	3	exact3tag	108807	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0003__exact3tag.tar.gz	initial200_payload_replica_0003__exact3tag.tar.gz	14421125	e9cdd1a29ad2f094871e1425c0611a65749219a4efaaaf38d13af66eac2aacfb	2b2c4fd72b4d720a0404620416976d880845d5eeb76cb46ff2cdc3736c9951ea
replica_0003__ge4tag	3	ge4tag	30840	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0003__ge4tag.tar.gz	initial200_payload_replica_0003__ge4tag.tar.gz	4065863	7f7cf4477fdbe8ad647a1dd00c8698afca8369abf2786fc3dd1afbf944eec024	ebdb128075d7ffe1aad3be7d1857878c4290cf3e2357699ed81f346b5a59106d
replica_0004__exact3tag	4	exact3tag	108935	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0004__exact3tag.tar.gz	initial200_payload_replica_0004__exact3tag.tar.gz	14688747	2ee3799f2f1a681182de96eb9133880a41807149e02cce5b70283b0a12a10935	283b5b6b366bda96459cf86bfc72fb9631652794cc3a758d282100cc83674afe
replica_0004__ge4tag	4	ge4tag	30933	/uscms_data/d3/iturkmen/hh4b_delphes/baselines/multivariate_cut_selection_stability_initial200_production_package_v1_20260808/archives/initial200_payload_replica_0004__ge4tag.tar.gz	initial200_payload_replica_0004__ge4tag.tar.gz	4420820	a7c8981d715bcaa05e7b0751300c9292c303d39a8c79d10177b690817c8b0d61	15301e41ece25eb8d79deb6eaef696e92069becc73d7730a6bf3a1cad094cb36
